=== Próba 1/24 ===
[48/50] Train Loss: 0.031459
[49/50] Train Loss: 0.034138
[50/50] Train Loss: 0.031998

=== Próba 3/24 ===
Parametry: {'batch_size': 512, 'batchnorm': True, 'dropout': 0.1, 'lr': 0.001}
[1/50] Train Loss: 0.377783
[2/50] Train Loss: 0.257037
[3/50] Train Loss: 0.243367
[4/50] Train Loss: 0.229537
[5/50] Train Loss: 0.219424
[6/50] Train Loss: 0.221924
[7/50] Train Loss: 0.210740
[8/50] Train Loss: 0.208466
[9/50] Train Loss: 0.210364
[10/50] Train Loss: 0.205851
[11/50] Train Loss: 0.205304
[12/50] Train Loss: 0.195921
[13/50] Train Loss: 0.201966
[14/50] Train Loss: 0.199399
[15/50] Train Loss: 0.191987
[16/50] Train Loss: 0.194727
[17/50] Train Loss: 0.192585
[18/50] Train Loss: 0.183916
[19/50] Train Loss: 0.189555
[20/50] Train Loss: 0.185823
[21/50] Train Loss: 0.184479
[22/50] Train Loss: 0.180944
[23/50] Train Loss: 0.179309
[24/50] Train Loss: 0.175241
[25/50] Train Loss: 0.176544
[26/50] Train Loss: 0.171361
[27/50] Train Loss: 0.163766
[28/50] Train Loss: 0.161804
[29/50] Train Loss: 0.165673
[30/50] Train Loss: 0.160218
[31/50] Train Loss: 0.164921
[32/50] Train Loss: 0.160794
[33/50] Train Loss: 0.160692
[34/50] Train Loss: 0.165842
[35/50] Train Loss: 0.156941
[36/50] Train Loss: 0.176952
[37/50] Train Loss: 0.167866
[38/50] Train Loss: 0.161322
[39/50] Train Loss: 0.164162
[40/50] Train Loss: 0.158173
[41/50] Train Loss: 0.158854
[42/50] Train Loss: 0.161114
[43/50] Train Loss: 0.153137
[44/50] Train Loss: 0.159244
[45/50] Train Loss: 0.169897
[46/50] Train Loss: 0.158366
[47/50] Train Loss: 0.156574
[48/50] Train Loss: 0.162916
[49/50] Train Loss: 0.156019
[50/50] Train Loss: 0.156684

=== Próba 4/24 ===
Parametry: {'batch_size': 512, 'batchnorm': True, 'dropout': 0.1, 'lr': 0.0005}
[1/50] Train Loss: 0.426451
[2/50] Train Loss: 0.297308
[3/50] Train Loss: 0.262413
[4/50] Train Loss: 0.247858
[5/50] Train Loss: 0.238534
[6/50] Train Loss: 0.225423
[7/50] Train Loss: 0.225135
[8/50] Train Loss: 0.220168
[9/50] Train Loss: 0.211963
[10/50] Train Loss: 0.210337
[11/50] Train Loss: 0.204970
[12/50] Train Loss: 0.207438
[13/50] Train Loss: 0.203959
[14/50] Train Loss: 0.199593
[15/50] Train Loss: 0.195920
[16/50] Train Loss: 0.194546
[17/50] Train Loss: 0.194302
[18/50] Train Loss: 0.196496
[19/50] Train Loss: 0.192799
[20/50] Train Loss: 0.191758
[21/50] Train Loss: 0.192071
[22/50] Train Loss: 0.189772
[23/50] Train Loss: 0.189027
[24/50] Train Loss: 0.188956
[25/50] Train Loss: 0.183971
[26/50] Train Loss: 0.184825
[27/50] Train Loss: 0.184262
[28/50] Train Loss: 0.183266
[29/50] Train Loss: 0.189920
[30/50] Train Loss: 0.187870
[31/50] Train Loss: 0.186233
[32/50] Train Loss: 0.181486
[33/50] Train Loss: 0.180808
[34/50] Train Loss: 0.180822
[35/50] Train Loss: 0.178801
[36/50] Train Loss: 0.177888
[37/50] Train Loss: 0.177927
[38/50] Train Loss: 0.173638
[39/50] Train Loss: 0.170843
[40/50] Train Loss: 0.167794
[41/50] Train Loss: 0.168228
[42/50] Train Loss: 0.165577
[43/50] Train Loss: 0.158933
[44/50] Train Loss: 0.159561
[45/50] Train Loss: 0.157896
[46/50] Train Loss: 0.153956
[47/50] Train Loss: 0.156371
[48/50] Train Loss: 0.165159
[49/50] Train Loss: 0.161324
[50/50] Train Loss: 0.156498

=== Próba 5/24 ===
Parametry: {'batch_size': 512, 'batchnorm': True, 'dropout': 0.2, 'lr': 0.001}
[1/50] Train Loss: 0.477932
[2/50] Train Loss: 0.381873
[3/50] Train Loss: 0.366919
[4/50] Train Loss: 0.350794
[5/50] Train Loss: 0.333221
[6/50] Train Loss: 0.331820
[7/50] Train Loss: 0.335827
[8/50] Train Loss: 0.324245
[9/50] Train Loss: 0.322860
[10/50] Train Loss: 0.318184
[11/50] Train Loss: 0.310681
[12/50] Train Loss: 0.307461
[13/50] Train Loss: 0.315538
[14/50] Train Loss: 0.304181
[15/50] Train Loss: 0.306379
[16/50] Train Loss: 0.304735
[17/50] Train Loss: 0.304155
[18/50] Train Loss: 0.307749
[19/50] Train Loss: 0.304969
[20/50] Train Loss: 0.299160
[21/50] Train Loss: 0.307288
[22/50] Train Loss: 0.296129
[23/50] Train Loss: 0.295072
[24/50] Train Loss: 0.292992
[25/50] Train Loss: 0.291880
[26/50] Train Loss: 0.299452
[27/50] Train Loss: 0.289097
[28/50] Train Loss: 0.290163
[29/50] Train Loss: 0.289856
[30/50] Train Loss: 0.290729
[31/50] Train Loss: 0.291931
[32/50] Train Loss: 0.293847
[33/50] Train Loss: 0.291928
[34/50] Train Loss: 0.287265
[35/50] Train Loss: 0.290272
[36/50] Train Loss: 0.290977
[37/50] Train Loss: 0.288110
[38/50] Train Loss: 0.289659
[39/50] Train Loss: 0.294304
[40/50] Train Loss: 0.278478
[41/50] Train Loss: 0.288500
[42/50] Train Loss: 0.280493
[43/50] Train Loss: 0.285418
[44/50] Train Loss: 0.289360
[45/50] Train Loss: 0.282793
[46/50] Train Loss: 0.281281
[47/50] Train Loss: 0.284474
[48/50] Train Loss: 0.283415
[49/50] Train Loss: 0.282096
[50/50] Train Loss: 0.280836

=== Próba 6/24 ===
Parametry: {'batch_size': 512, 'batchnorm': True, 'dropout': 0.2, 'lr': 0.0005}
[1/50] Train Loss: 0.517331
[2/50] Train Loss: 0.438200
[3/50] Train Loss: 0.397802
[4/50] Train Loss: 0.367122
[5/50] Train Loss: 0.355860
[6/50] Train Loss: 0.340367
[7/50] Train Loss: 0.341403
[8/50] Train Loss: 0.333362
[9/50] Train Loss: 0.326383
[10/50] Train Loss: 0.328288
[11/50] Train Loss: 0.321251
[12/50] Train Loss: 0.315635
[13/50] Train Loss: 0.320076
[14/50] Train Loss: 0.318263
[15/50] Train Loss: 0.318698
[16/50] Train Loss: 0.305089
[17/50] Train Loss: 0.307847
[18/50] Train Loss: 0.305391
[19/50] Train Loss: 0.306670
[20/50] Train Loss: 0.300446
[21/50] Train Loss: 0.295873
[22/50] Train Loss: 0.303219
[23/50] Train Loss: 0.300868
[24/50] Train Loss: 0.295413
[25/50] Train Loss: 0.294287
[26/50] Train Loss: 0.295765
[27/50] Train Loss: 0.292462
[28/50] Train Loss: 0.291327
[29/50] Train Loss: 0.294291
[30/50] Train Loss: 0.287463
[31/50] Train Loss: 0.297339
[32/50] Train Loss: 0.285663
[33/50] Train Loss: 0.285332
[34/50] Train Loss: 0.286078
[35/50] Train Loss: 0.289559
[36/50] Train Loss: 0.294374
[37/50] Train Loss: 0.287309
[38/50] Train Loss: 0.292046
[39/50] Train Loss: 0.286565
[40/50] Train Loss: 0.285811
[41/50] Train Loss: 0.288275
[42/50] Train Loss: 0.284979
[43/50] Train Loss: 0.281401
[44/50] Train Loss: 0.278933
[45/50] Train Loss: 0.285209
[46/50] Train Loss: 0.284520
[47/50] Train Loss: 0.281754
[48/50] Train Loss: 0.285409
[49/50] Train Loss: 0.274899
[50/50] Train Loss: 0.283132

=== Próba 7/24 ===
Parametry: {'batch_size': 512, 'batchnorm': False, 'dropout': 0.0, 'lr': 0.001}
[1/50] Train Loss: 0.182559
[2/50] Train Loss: 0.097857
[3/50] Train Loss: 0.080325
[4/50] Train Loss: 0.089334
[5/50] Train Loss: 0.061758
[6/50] Train Loss: 0.059202
[7/50] Train Loss: 0.041997
[8/50] Train Loss: 0.063436
[9/50] Train Loss: 0.044735
[10/50] Train Loss: 0.032917
[11/50] Train Loss: 0.046157
[12/50] Train Loss: 0.038236
[13/50] Train Loss: 0.037629
[14/50] Train Loss: 0.031505
[15/50] Train Loss: 0.025906
[16/50] Train Loss: 0.028530
[17/50] Train Loss: 0.025764
[18/50] Train Loss: 0.031709
[19/50] Train Loss: 0.026582
[20/50] Train Loss: 0.031410
[21/50] Train Loss: 0.030278
[22/50] Train Loss: 0.017623
[23/50] Train Loss: 0.022585
[24/50] Train Loss: 0.026802
[25/50] Train Loss: 0.028286
[26/50] Train Loss: 0.022204
[27/50] Train Loss: 0.025736
[28/50] Train Loss: 0.020415
[29/50] Train Loss: 0.035333
[30/50] Train Loss: 0.022858
[31/50] Train Loss: 0.021882
[32/50] Train Loss: 0.017677
[33/50] Train Loss: 0.017316
[34/50] Train Loss: 0.017036
[35/50] Train Loss: 0.015274
[36/50] Train Loss: 0.019177
[37/50] Train Loss: 0.020652
[38/50] Train Loss: 0.016994
[39/50] Train Loss: 0.020455
[40/50] Train Loss: 0.013062
[41/50] Train Loss: 0.027424
[42/50] Train Loss: 0.014232
[43/50] Train Loss: 0.016488
[44/50] Train Loss: 0.019552
[45/50] Train Loss: 0.017521
[46/50] Train Loss: 0.013156
[47/50] Train Loss: 0.014165
[48/50] Train Loss: 0.016426
[49/50] Train Loss: 0.017564
[50/50] Train Loss: 0.014361

=== Próba 8/24 ===
Parametry: {'batch_size': 512, 'batchnorm': False, 'dropout': 0.0, 'lr': 0.0005}
[1/50] Train Loss: 0.230154
[2/50] Train Loss: 0.112500
[3/50] Train Loss: 0.092902
[4/50] Train Loss: 0.080618
[5/50] Train Loss: 0.052758
[6/50] Train Loss: 0.053510
[7/50] Train Loss: 0.045275
[8/50] Train Loss: 0.039131
[9/50] Train Loss: 0.048338
[10/50] Train Loss: 0.035805
[11/50] Train Loss: 0.044688
[12/50] Train Loss: 0.033685
[13/50] Train Loss: 0.036163
[14/50] Train Loss: 0.036460
[15/50] Train Loss: 0.031930
[16/50] Train Loss: 0.031564
[17/50] Train Loss: 0.032794
[18/50] Train Loss: 0.032059
[19/50] Train Loss: 0.031377
[20/50] Train Loss: 0.030336
[21/50] Train Loss: 0.030471
[22/50] Train Loss: 0.031733
[23/50] Train Loss: 0.028060
[24/50] Train Loss: 0.027298
[25/50] Train Loss: 0.029156
[26/50] Train Loss: 0.025364
[27/50] Train Loss: 0.022012
[28/50] Train Loss: 0.019792
[29/50] Train Loss: 0.018859
[30/50] Train Loss: 0.016588
[31/50] Train Loss: 0.017878
[32/50] Train Loss: 0.016612
[33/50] Train Loss: 0.018940
[34/50] Train Loss: 0.016562
[35/50] Train Loss: 0.013074
[36/50] Train Loss: 0.018033
[37/50] Train Loss: 0.014735
[38/50] Train Loss: 0.013773
[39/50] Train Loss: 0.017212
[40/50] Train Loss: 0.013272
[41/50] Train Loss: 0.012838
[42/50] Train Loss: 0.014499
[43/50] Train Loss: 0.016418
[44/50] Train Loss: 0.012353
[45/50] Train Loss: 0.014568
[46/50] Train Loss: 0.011452
[47/50] Train Loss: 0.013519
[48/50] Train Loss: 0.013572
[49/50] Train Loss: 0.013067
[50/50] Train Loss: 0.012797

=== Próba 9/24 ===
Parametry: {'batch_size': 512, 'batchnorm': False, 'dropout': 0.1, 'lr': 0.001}
[1/50] Train Loss: 0.356382
[2/50] Train Loss: 0.257124
[3/50] Train Loss: 0.227508
[4/50] Train Loss: 0.223232
[5/50] Train Loss: 0.213465
[6/50] Train Loss: 0.207198
[7/50] Train Loss: 0.196036
[8/50] Train Loss: 0.197620
[9/50] Train Loss: 0.200486
[10/50] Train Loss: 0.188478
[11/50] Train Loss: 0.193313
[12/50] Train Loss: 0.189704
[13/50] Train Loss: 0.196080
[14/50] Train Loss: 0.184343
[15/50] Train Loss: 0.181965
[16/50] Train Loss: 0.172764
[17/50] Train Loss: 0.173043
[18/50] Train Loss: 0.167139
[19/50] Train Loss: 0.172902
[20/50] Train Loss: 0.166882
[21/50] Train Loss: 0.173144
[22/50] Train Loss: 0.173181
[23/50] Train Loss: 0.175149
[24/50] Train Loss: 0.163883
[25/50] Train Loss: 0.162366
[26/50] Train Loss: 0.169897
[27/50] Train Loss: 0.168383
[28/50] Train Loss: 0.164852
[29/50] Train Loss: 0.166546
[30/50] Train Loss: 0.162292
[31/50] Train Loss: 0.165923
[32/50] Train Loss: 0.167913
[33/50] Train Loss: 0.152540
[34/50] Train Loss: 0.169910
[35/50] Train Loss: 0.165467
[36/50] Train Loss: 0.166007
[37/50] Train Loss: 0.155508
[38/50] Train Loss: 0.162744
[39/50] Train Loss: 0.168718
[40/50] Train Loss: 0.174205
[41/50] Train Loss: 0.151493
[42/50] Train Loss: 0.152220
[43/50] Train Loss: 0.163168
[44/50] Train Loss: 0.147463
[45/50] Train Loss: 0.153824
[46/50] Train Loss: 0.171741
[47/50] Train Loss: 0.152651
[48/50] Train Loss: 0.154282
[49/50] Train Loss: 0.154982
[50/50] Train Loss: 0.149564

=== Próba 10/24 ===
Parametry: {'batch_size': 512, 'batchnorm': False, 'dropout': 0.1, 'lr': 0.0005}
[1/50] Train Loss: 0.416783
[2/50] Train Loss: 0.276693
[3/50] Train Loss: 0.247388
[4/50] Train Loss: 0.228748
[5/50] Train Loss: 0.225027
[6/50] Train Loss: 0.213656
[7/50] Train Loss: 0.206312
[8/50] Train Loss: 0.208155
[9/50] Train Loss: 0.199094
[10/50] Train Loss: 0.195210
[11/50] Train Loss: 0.192858
[12/50] Train Loss: 0.194315
[13/50] Train Loss: 0.188173
[14/50] Train Loss: 0.188256
[15/50] Train Loss: 0.184320
[16/50] Train Loss: 0.177649
[17/50] Train Loss: 0.176711
[18/50] Train Loss: 0.167697
[19/50] Train Loss: 0.165362
[20/50] Train Loss: 0.162309
[21/50] Train Loss: 0.164240
[22/50] Train Loss: 0.163786
[23/50] Train Loss: 0.162398
[24/50] Train Loss: 0.169136
[25/50] Train Loss: 0.166391
[26/50] Train Loss: 0.170922
[27/50] Train Loss: 0.160716
[28/50] Train Loss: 0.155418
[29/50] Train Loss: 0.150670
[30/50] Train Loss: 0.149830
[31/50] Train Loss: 0.152762
[32/50] Train Loss: 0.153708
[33/50] Train Loss: 0.150338
[34/50] Train Loss: 0.154318
[35/50] Train Loss: 0.153541
[36/50] Train Loss: 0.161545
[37/50] Train Loss: 0.149858
[38/50] Train Loss: 0.155732
[39/50] Train Loss: 0.150441
[40/50] Train Loss: 0.149674
[41/50] Train Loss: 0.147661
[42/50] Train Loss: 0.163794
[43/50] Train Loss: 0.152756
[44/50] Train Loss: 0.152095
[45/50] Train Loss: 0.146471
[46/50] Train Loss: 0.148117
[47/50] Train Loss: 0.141310
[48/50] Train Loss: 0.157400
[49/50] Train Loss: 0.149066
[50/50] Train Loss: 0.154052

=== Próba 11/24 ===
Parametry: {'batch_size': 512, 'batchnorm': False, 'dropout': 0.2, 'lr': 0.001}
[1/50] Train Loss: 0.472518
[2/50] Train Loss: 0.372652
[3/50] Train Loss: 0.342879
[4/50] Train Loss: 0.349314
[5/50] Train Loss: 0.337437
[6/50] Train Loss: 0.327957
[7/50] Train Loss: 0.310614
[8/50] Train Loss: 0.308149
[9/50] Train Loss: 0.332021
[10/50] Train Loss: 0.295211
[11/50] Train Loss: 0.307955
[12/50] Train Loss: 0.309199
[13/50] Train Loss: 0.301605
[14/50] Train Loss: 0.290847
[15/50] Train Loss: 0.284983
[16/50] Train Loss: 0.285948
[17/50] Train Loss: 0.314665
[18/50] Train Loss: 0.289530
[19/50] Train Loss: 0.285176
[20/50] Train Loss: 0.300614
[21/50] Train Loss: 0.277617
[22/50] Train Loss: 0.289887
[23/50] Train Loss: 0.274030
[24/50] Train Loss: 0.290744
[25/50] Train Loss: 0.289419
[26/50] Train Loss: 0.283412
[27/50] Train Loss: 0.280407
[28/50] Train Loss: 0.287896
[29/50] Train Loss: 0.291861
[30/50] Train Loss: 0.275682
[31/50] Train Loss: 0.278422
[32/50] Train Loss: 0.310950
[33/50] Train Loss: 0.294950
[34/50] Train Loss: 0.288963
[35/50] Train Loss: 0.285899
[36/50] Train Loss: 0.275410
[37/50] Train Loss: 0.280118
[38/50] Train Loss: 0.288623
[39/50] Train Loss: 0.284842
[40/50] Train Loss: 0.287449
[41/50] Train Loss: 0.276541
[42/50] Train Loss: 0.277375
[43/50] Train Loss: 0.271451
[44/50] Train Loss: 0.275611
[45/50] Train Loss: 0.284731
[46/50] Train Loss: 0.273570
[47/50] Train Loss: 0.285372
[48/50] Train Loss: 0.300536
[49/50] Train Loss: 0.301791
[50/50] Train Loss: 0.282207

=== Próba 12/24 ===
Parametry: {'batch_size': 512, 'batchnorm': False, 'dropout': 0.2, 'lr': 0.0005}
[1/50] Train Loss: 0.513891
[2/50] Train Loss: 0.399937
[3/50] Train Loss: 0.364368
[4/50] Train Loss: 0.343945
[5/50] Train Loss: 0.337562
[6/50] Train Loss: 0.332628
[7/50] Train Loss: 0.331766
[8/50] Train Loss: 0.325071
[9/50] Train Loss: 0.330535
[10/50] Train Loss: 0.332960
[11/50] Train Loss: 0.319502
[12/50] Train Loss: 0.319421
[13/50] Train Loss: 0.305134
[14/50] Train Loss: 0.313570
[15/50] Train Loss: 0.310080
[16/50] Train Loss: 0.304172
[17/50] Train Loss: 0.307155
[18/50] Train Loss: 0.300834
[19/50] Train Loss: 0.296181
[20/50] Train Loss: 0.302994
[21/50] Train Loss: 0.293353
[22/50] Train Loss: 0.292683
[23/50] Train Loss: 0.293179
[24/50] Train Loss: 0.298136
[25/50] Train Loss: 0.289075
[26/50] Train Loss: 0.285857
[27/50] Train Loss: 0.290659
[28/50] Train Loss: 0.292114
[29/50] Train Loss: 0.289417
[30/50] Train Loss: 0.292166
[31/50] Train Loss: 0.288570
[32/50] Train Loss: 0.290927
[33/50] Train Loss: 0.282264
[34/50] Train Loss: 0.284382
[35/50] Train Loss: 0.284461
[36/50] Train Loss: 0.282271
[37/50] Train Loss: 0.279493
[38/50] Train Loss: 0.274228
[39/50] Train Loss: 0.276260
[40/50] Train Loss: 0.281732
[41/50] Train Loss: 0.291011
[42/50] Train Loss: 0.273456
[43/50] Train Loss: 0.269815
[44/50] Train Loss: 0.268237
[45/50] Train Loss: 0.278154
[46/50] Train Loss: 0.263155
[47/50] Train Loss: 0.272989
[48/50] Train Loss: 0.268963
[49/50] Train Loss: 0.267687
[50/50] Train Loss: 0.274809

=== Próba 13/24 ===
Parametry: {'batch_size': 1024, 'batchnorm': True, 'dropout': 0.0, 'lr': 0.001}
[1/50] Train Loss: 0.252972
[2/50] Train Loss: 0.113616
[3/50] Train Loss: 0.099756
[4/50] Train Loss: 0.088644
[5/50] Train Loss: 0.074409
[6/50] Train Loss: 0.061046
[7/50] Train Loss: 0.057865
[8/50] Train Loss: 0.054531
[9/50] Train Loss: 0.058169
[10/50] Train Loss: 0.046822
[11/50] Train Loss: 0.045183
[12/50] Train Loss: 0.043661
[13/50] Train Loss: 0.045582
[14/50] Train Loss: 0.045741
[15/50] Train Loss: 0.042123
[16/50] Train Loss: 0.044655
[17/50] Train Loss: 0.041101
[18/50] Train Loss: 0.037558
[19/50] Train Loss: 0.039098
[20/50] Train Loss: 0.039834
[21/50] Train Loss: 0.038864
[22/50] Train Loss: 0.037619
[23/50] Train Loss: 0.036016
[24/50] Train Loss: 0.037634
[25/50] Train Loss: 0.036747
[26/50] Train Loss: 0.036858
[27/50] Train Loss: 0.034790
[28/50] Train Loss: 0.033817
[29/50] Train Loss: 0.030833
[30/50] Train Loss: 0.031901
[31/50] Train Loss: 0.030028
[32/50] Train Loss: 0.026568
[33/50] Train Loss: 0.026468
[34/50] Train Loss: 0.023843
[35/50] Train Loss: 0.024160
[36/50] Train Loss: 0.019132
[37/50] Train Loss: 0.029780
[38/50] Train Loss: 0.020889
[39/50] Train Loss: 0.022795
[40/50] Train Loss: 0.021436
[41/50] Train Loss: 0.018429
[42/50] Train Loss: 0.019035
[43/50] Train Loss: 0.021749
[44/50] Train Loss: 0.025821
[45/50] Train Loss: 0.016955
[46/50] Train Loss: 0.019303
[47/50] Train Loss: 0.019924
[48/50] Train Loss: 0.021736
[49/50] Train Loss: 0.018972
[50/50] Train Loss: 0.019171

=== Próba 14/24 ===
Parametry: {'batch_size': 1024, 'batchnorm': True, 'dropout': 0.0, 'lr': 0.0005}
[1/50] Train Loss: 0.308644
[2/50] Train Loss: 0.137575
[3/50] Train Loss: 0.116070
[4/50] Train Loss: 0.104173
[5/50] Train Loss: 0.095339
[6/50] Train Loss: 0.088946
[7/50] Train Loss: 0.078264
[8/50] Train Loss: 0.068697
[9/50] Train Loss: 0.063702
[10/50] Train Loss: 0.056663
[11/50] Train Loss: 0.054633
[12/50] Train Loss: 0.054300
[13/50] Train Loss: 0.051376
[14/50] Train Loss: 0.048034
[15/50] Train Loss: 0.045419
[16/50] Train Loss: 0.045690
[17/50] Train Loss: 0.049839
[18/50] Train Loss: 0.044552
[19/50] Train Loss: 0.042040
[20/50] Train Loss: 0.044052
[21/50] Train Loss: 0.039396
[22/50] Train Loss: 0.041753
[23/50] Train Loss: 0.041485
[24/50] Train Loss: 0.037874
[25/50] Train Loss: 0.039702
[26/50] Train Loss: 0.035922
[27/50] Train Loss: 0.039079
[28/50] Train Loss: 0.035342
[29/50] Train Loss: 0.039461
[30/50] Train Loss: 0.035238
[31/50] Train Loss: 0.034300
[32/50] Train Loss: 0.035047
[33/50] Train Loss: 0.032448
[34/50] Train Loss: 0.031936
[35/50] Train Loss: 0.037226
[36/50] Train Loss: 0.030646
[37/50] Train Loss: 0.030662
[38/50] Train Loss: 0.029133
[39/50] Train Loss: 0.025882
[40/50] Train Loss: 0.026383
[41/50] Train Loss: 0.023963
[42/50] Train Loss: 0.025264
[43/50] Train Loss: 0.021481
[44/50] Train Loss: 0.024341
[45/50] Train Loss: 0.021334
[46/50] Train Loss: 0.021887
[47/50] Train Loss: 0.020001
[48/50] Train Loss: 0.020516
[49/50] Train Loss: 0.019829
[50/50] Train Loss: 0.022274

=== Próba 15/24 ===
Parametry: {'batch_size': 1024, 'batchnorm': True, 'dropout': 0.1, 'lr': 0.001}
[1/50] Train Loss: 0.398138
[2/50] Train Loss: 0.271519
[3/50] Train Loss: 0.246067
[4/50] Train Loss: 0.238827
[5/50] Train Loss: 0.226923
[6/50] Train Loss: 0.219799
[7/50] Train Loss: 0.219115
[8/50] Train Loss: 0.216232
[9/50] Train Loss: 0.215648
[10/50] Train Loss: 0.203102
[11/50] Train Loss: 0.213657
[12/50] Train Loss: 0.197558
[13/50] Train Loss: 0.193446
[14/50] Train Loss: 0.197806
[15/50] Train Loss: 0.192859
[16/50] Train Loss: 0.189909
[17/50] Train Loss: 0.185797
[18/50] Train Loss: 0.183049
[19/50] Train Loss: 0.190896
[20/50] Train Loss: 0.173042
[21/50] Train Loss: 0.171084
[22/50] Train Loss: 0.168372
[23/50] Train Loss: 0.167494
[24/50] Train Loss: 0.163722
[25/50] Train Loss: 0.162541
[26/50] Train Loss: 0.177260
[27/50] Train Loss: 0.164688
[28/50] Train Loss: 0.165207
[29/50] Train Loss: 0.160490
[30/50] Train Loss: 0.160527
[31/50] Train Loss: 0.161762
[32/50] Train Loss: 0.167826
[33/50] Train Loss: 0.154576
[34/50] Train Loss: 0.156856
[35/50] Train Loss: 0.163347
[36/50] Train Loss: 0.152702
[37/50] Train Loss: 0.166371
[38/50] Train Loss: 0.158780
[39/50] Train Loss: 0.173679
[40/50] Train Loss: 0.153826
[41/50] Train Loss: 0.152897
[42/50] Train Loss: 0.157252
[43/50] Train Loss: 0.157720
[44/50] Train Loss: 0.162153
[45/50] Train Loss: 0.150272
[46/50] Train Loss: 0.158675
[47/50] Train Loss: 0.156209
[48/50] Train Loss: 0.160568
[49/50] Train Loss: 0.160595
[50/50] Train Loss: 0.155833


=== Próba 16/24 ===
Parametry: {'batch_size': 1024, 'batchnorm': True, 'dropout': 0.1, 'lr': 0.0005}
[1/50] Train Loss: 0.458064
[2/50] Train Loss: 0.309705
[3/50] Train Loss: 0.274169
[4/50] Train Loss: 0.261543
[5/50] Train Loss: 0.250936
[6/50] Train Loss: 0.248617
[7/50] Train Loss: 0.231954
[8/50] Train Loss: 0.233354
[9/50] Train Loss: 0.225234
[10/50] Train Loss: 0.220279
[11/50] Train Loss: 0.218810
